"sep=;"
Kunder
Forsikringsnummer;Etternavn;Fornavn;Kunde siden;Fakturaadresse;Ubetalte erstatninger
10000;Hassel;Martin;2008-12-23;Kirkebakken 13;30067.0
10001;Nilsen;Ali;2019-12-02;Veslevegen 26;44509.0
10002;Sørensen;Kim;2006-12-11;Rønningveien 27;7424.0
10003;Jørgensen;Julian;1999-06-01;Hekkeløpveien 15;6483.0
10004;Solvoll;Caroline;1998-09-09;Gravarskroken 1;73885.0
10005;Midtbø;Elise;2014-10-09;Ingrids gate 6;27284.0
10006;Nygaard;Ingeborg;2009-09-05;Roald Amundsens veg 87;62825.0
10007;Bruvoll;Amelia;2013-12-23;Gjellum terrasse 20;36493.0
10008;Tafjord;David;2015-01-14;Industriveien 40;8509.0
10009;Torgersen;Preben;1999-03-12;Fredrikke Nielsens veg 13;60070.0
10010;Ottersen;Martyna;2011-07-08;Steinbekk gård 65;82535.0
10011;Haugerud;Leon;2011-01-13;Bjørklunds gate 94;37331.0
10012;Braathen;Maja;2015-06-16;Hovsbruveien 78;88334.0
10013;Henriksen;Jacob;2016-02-01;Ginatunet 99;57749.0
10014;Fosse;Mathias;2002-05-02;Kløveråsveien 47;12151.0
10015;Vangen;Nora;1998-11-13;Havreveien 28;61889.0
10016;Krogstad;Emma;2019-09-18;Solstien 99;37322.0
10017;Sørensen;Sunniva;2016-02-17;Lomviveien 67;81146.0
10018;Kjeldsen;Marvin;2009-06-28;Industrigata 30;36219.0
10019;Jespersen;Julie;2012-10-22;Laura Gundersens gate 84;36135.0
10020;Lillevik;Marie;2003-06-28;Kolbergsrudvegen 82;36300.0
10021;Jenssen;Even;2010-06-19;Brønnøyveien 83;24969.0
10022;Sørensen;Jonas;1995-01-20;Sandvollia 53;85275.0
10023;Olsen;Alexander;2017-05-25;Hvalsveien 28;8462.0
10024;Westby;Nicoline;1996-07-27;Melkeveien 65;28823.0
10025;Ali;Fatima;2000-05-28;Engvegen 61;95710.0
10026;Holm;Linn;2002-01-28;Ljansbrukveien 27;44558.0
10027;Lian;Hannah;2012-11-18;Brandstorpveien 56;27660.0
10028;Moe;Andreas;2014-05-20;Myrveien 27;761.0
10029;Stokkenes;Bjørn;2010-09-21;Haugsåsen 78;90148.0
10030;Kristiansen;Emine;1995-02-10;Hattemaker Knudsens vei 26;4741.0
10031;Gunnestad;Gaute;1996-03-02;Tømtebakken 39;46100.0
10032;Jacobsen;Elliot;2008-04-21;Rolandvegen 8;67174.0
10033;Myhren;Kian;2012-07-14;Ramsays gate 26;40104.0
10034;Johansen;Peter;2002-10-25;De Eldres vei 67;87863.0
