sep=;
Kunder
Forsikringsnummer;Etternavn;Fornavn;Kunde siden;Fakturaadresse;Ubetalte erstatninger
10000;Hjørnevik;Olivia;2009-3-11;Kirkegårdsveien 99;11956.0
10001;Martinsen;Benjamin;1997-9-13;Storhauggata 33;66834.0
10002;Dahl;William;1997-10-15;Brennavegen 25;65827.0
10003;Løland;Sandra;2004-11-26;Vestre Solhellinga 93;141.0
10004;Bakken;Liam;2018-8-23;Knausen 39;78937.0
10005;Wold;Ali;2011-0-4;Aabys gate 62;5559.0
10006;Kleiven;Tobias;2018-8-3;Yttervikveien 19;18612.0
10007;Gundersen;Alva;2002-4-25;Rugdeneset 69;81822.0
10008;Bru;Victor;2011-5-1;Nordre Holen 50;25075.0
10009;Andresen;Emilie;2003-9-1;Sædalsvegen 47;37885.0
10010;Løland;William;2010-9-18;Hubroveien 18;98368.0
10011;Westby;Isabella;2001-10-9;Frusetholtet 85;96072.0
10012;Larsen;Mathias;2002-12-12;Åsenveien 94;88485.0
10013;Frigstad;Alex;2011-9-0;Nordkapps gate 16;51064.0
10014;Karlsen;Adam;2006-1-18;Bjørneveien 84;91176.0
10015;Svendsen;Martin;2008-11-12;Ole Irgens vei 63;28127.0
10016;Granås;Selma;1997-5-20;Mons Slettens veg 58;74577.0
10017;Myhrvold;Mille;2019-8-4;De Eldres vei 37;82025.0
10018;Hassel;Elliot;1997-4-2;Persvei 29;60048.0
10019;Vik;Emilie;2010-2-4;Per Halvorsens vei 17;63975.0
10020;Pedersen;Marie;2010-6-8;Malmveien 24;3171.0
10021;Krogstad;Bjørn;2000-12-0;Bråmyra 25;60771.0
10022;Oppedal;Teodor;2015-7-21;Kirkegårdsveien 57;8690.0
10023;Jespersen;Emmett;2016-11-22;Godliaveien 43;52063.0
10024;Amundsen;Isabella;2016-8-6;Jægermyren 61;12925.0
10025;Simonsen;Tobias;2014-6-9;Rønningveien 22;8263.0
10026;Johnsen;Johannes;1997-11-28;Brennaveien 25;10010.0
10027;Ensrud;Kim;2009-1-26;Stærvegen 63;22042.0
10028;Berntsen;Silje;2012-5-5;Ulsrudfaret 39;10022.0
10029;Dalene;Lea;2008-3-21;Vestmarkbakken 71;68653.0
10030;Samuelsen;Amina;2019-0-16;Løvåsveien 3;95017.0
10031;Andorsen;Ben;1999-3-25;Thomas Von Westens gate 3;86782.0
10032;Jakobsen;Arthur;2003-5-16;Vikens gate 61;56611.0
10033;Jakobsen;Mikkel;2012-5-14;Susebukta 35;71800.0
10034;Gundersen;Vebjørn;2000-7-12;Rasmus Mortensens vei 100;15114.0
10035;Hansen;Anna;2009-5-1;Solegladveien 93;9946.0
10036;Bruvoll;Lisa;2010-7-11;Grønnebergveien 39;94700.0
10037;Heggland;Lucas;2018-0-18;Midtveien 96;4447.0
10038;Hansen;Elise;1997-2-26;Skansebakken 20;10107.0
10039;Hansen;Isaac;2011-0-6;Havnebakken 29;54805.0
10040;Langhelle;Nora;2007-4-10;Gamle Borgen vei 93;96754.0
10041;Johansen;Konrad;2002-10-7;Holsts gate 100;13248.0
